Comment,Designator,Footprint,LCSC,Quantity
SW_DIP_x02,SW1,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile,,1
120R,R2,R_0603_1608Metric,,1
120R,R3,R_0603_1608Metric,,1
Conn_01x01_Pin,J4,PinHeader_1x01_P2.54mm_Vertical,,1
USB_C_Receptacle_USB2.0,J5,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,,1
1k,R6,R_0402_1005Metric,,1
Conn_01x01_Pin,J6,PinHeader_1x01_P2.54mm_Vertical,,1
4k7,R5,R_0402_1005Metric,,1
Conn_01x04,J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
RJ45_LED_Shielded,J2,RJ45_Amphenol_RJHSE538X,,1
Conn_01x04,J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
ss34,D3,D_SMA,,1
220,R1,R_0402_1005Metric,,1
LV_PWR,D2,D_0603_1608Metric,,1
LV_PWR,D1,D_0603_1608Metric,,1
CAN,U3,Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,,1
CAN,U2,Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,,1
4k7,R4,R_0402_1005Metric,,1
Conn_01x02,J7,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,,1
