Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LV_PWR,D_0603_1608Metric,160.910001,-85.490001,180.0,top
D2,LV_PWR,D_0603_1608Metric,160.897502,-83.690001,180.0,top
D3,ss34,D_SMA,153.02,-82.690001,-90.0,top
J1,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,130.32,-82.465001,0.0,top
J2,RJ45_LED_Shielded,RJ45_Amphenol_RJHSE538X,148.084,-72.282501,0.0,top
J3,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,143.77,-82.490001,0.0,top
J4,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,165.82,-80.790001,0.0,top
J5,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,166.02,-97.020001,0.0,top
J6,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,159.92,-80.790001,0.0,top
J7,Conn_01x02,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,153.5,-93.280001,180.0,top
R1,220,R_0402_1005Metric,158.210001,-85.590001,0.0,top
R2,120R,R_0603_1608Metric,135.82,-66.790001,-90.0,top
R3,120R,R_0603_1608Metric,133.32,-66.690001,-90.0,top
R4,4k7,R_0402_1005Metric,168.42,-92.790001,180.0,top
R5,4k7,R_0402_1005Metric,164.62,-92.390001,-90.0,top
R6,1k,R_0402_1005Metric,158.210001,-83.690001,180.0,top
SW1,SW_DIP_x02,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile,134.45,-73.900001,-90.0,top
U2,CAN,Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,140.42,-97.640001,180.0,top
U3,CAN,Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical,129.22,-97.640001,180.0,top
